UniProt ID,EC Numbers, EC Categories
D3Z7P3,EC number,3.5.1.2;3.5.1.38,Hydrolases
Q571F8,EC number,3.5.1.2;3.5.1.38,Hydrolases
P50431,EC number,2.1.2.1,Transferases
